phase,trade_id,action,entry_time,exit_time,entry_price,exit_price,size,stop_loss,take_profit,pnl,pnl_pct,net_pnl,net_pnl_pct,exit_reason,conviction,regime,reasoning
baseline,BT-202501010400-0,SHORT,2025-01-01T04:00:00+00:00,2025-01-02T04:30:00+00:00,93810.0,95686.2,0.05329922,95686.2,89119.5,-99.99999656,-0.02,-109.09001625,-0.021818,STOP_LOSS,94,BEAR_TREND,"BEAR_TREND: state_conf=0.79, trend_strength=1.00, adx=17.1, hurst=1.00"
baseline,BT-202501032000-1,LONG,2025-01-03T20:00:00+00:00,2025-01-06T20:00:00+00:00,98545.6,101771.7,0.00581761,96574.688,103472.88,18.76819162,0.03273713,17.71936424,0.00354387,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=27.3, hurst=1.00"
baseline,BT-202501070000-2,LONG,2025-01-07T00:00:00+00:00,2025-01-07T14:45:00+00:00,102180.5,100136.89,0.04813803,100136.89,107289.525,-98.37535949,-0.02,-107.14062369,-0.02142812,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=0.88, trend_strength=1.00, adx=35.8, hurst=1.00"
baseline,BT-202501081600-3,LONG,2025-01-08T16:00:00+00:00,2025-01-08T17:15:00+00:00,95449.9,93540.902,0.05050181,93540.902,100222.395,-96.40785429,-0.02,-104.99781338,-0.02099956,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=33.1, hurst=1.00"
baseline,BT-202501090000-4,LONG,2025-01-09T00:00:00+00:00,2025-01-09T08:00:00+00:00,95014.0,93113.72,0.04971883,93113.72,99764.7,-94.47969827,-0.02,-102.89785828,-0.02057957,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=35.2, hurst=1.00"
baseline,BT-202501091200-5,LONG,2025-01-09T12:00:00+00:00,2025-01-09T20:00:00+00:00,93414.3,91546.014,0.04955885,91546.014,98085.015,-92.59010563,-0.02,-100.83990256,-0.02016798,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=38.0, hurst=1.00"
baseline,BT-202501100000-6,LONG,2025-01-10T00:00:00+00:00,2025-01-13T00:00:00+00:00,92506.0,94499.9,0.04904455,90655.88,97131.3,97.78992824,0.02155428,89.53548961,0.0179071,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=39.5, hurst=1.00"
baseline,BT-202501130400-7,LONG,2025-01-13T04:00:00+00:00,2025-01-13T10:15:00+00:00,94215.4,92331.092,0.04919265,92331.092,98926.17,-92.69410394,-0.02,-100.95316714,-0.02019063,STOP_LOSS,91,BULL_TREND,"BULL_TREND: state_conf=0.56, trend_strength=1.00, adx=22.4, hurst=1.00"
baseline,BT-202501131600-8,LONG,2025-01-13T16:00:00+00:00,2025-01-14T09:30:00+00:00,92093.7,96698.385,0.04931945,90251.826,96698.385,227.10053162,0.05,218.72056743,0.04374411,TAKE_PROFIT,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=23.5, hurst=1.00"
baseline,BT-202501151600-9,LONG,2025-01-15T16:00:00+00:00,2025-01-17T15:00:00+00:00,98943.3,103890.465,0.04820045,96964.434,103890.465,238.45557922,0.05,229.65661604,0.04593132,TAKE_PROFIT,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=17.7, hurst=1.00"
baseline,BT-202501171600-10,LONG,2025-01-17T16:00:00+00:00,2025-01-19T22:45:00+00:00,103946.3,101867.374,0.04817456,101867.374,109143.615,-100.15134532,-0.02,-109.07485022,-0.02181497,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=23.7, hurst=1.00"
baseline,BT-202501250400-11,SHORT,2025-01-25T04:00:00+00:00,2025-01-27T05:45:00+00:00,105153.9,99896.205,0.04666889,107256.978,99896.205,245.37078961,0.05,236.75832397,0.04735166,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=0.95, trend_strength=1.00, adx=12.3, hurst=1.00"
